Match_id,season,city,date,team1,team2,toss_win,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_the_match,venue,match_refree,reserve_umpire,tv_umpire,umpire1,umpire2
53,2017,Kolkata,2017-05-13,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,normal,0,Mumbai Indians,9,0,AT Rayudu,Eden Gardens,J Srinath,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi
54,2017,Pune,2017-05-14,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,9,JD Unadkat,Maharashtra Cricket Association Stadium,M Nayyar,N Pandit,KN Ananthapadmanabhan,AY Dandekar,A Deshmukh
55,2017,Delhi,2017-05-14,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,10,0,HV Patel,Feroz Shah Kotla,AJ Pycroft,R Pandit,KN Ananthapadmanabhan,CK Nandan,C Shamshuddin
56,2017,Mumbai,2017-05-16,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,normal,0,Rising Pune Supergiant,20,0,Washington Sundar,Wankhede Stadium,J Srinath,YC Barde,CK Nandan,S Ravi,C Shamshuddin
57,2017,Bangalore,2017-05-17,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,D/L,Kolkata Knight Riders,0,7,NM Coulter-Nile,M Chinnaswamy Stadium,M Nayyar,KN Ananthapadmanabhan,A Nand Kishore,AK Chaudhary,Nitin Menon
58,2017,Bangalore,2017-05-19,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,KV Sharma,M Chinnaswamy Stadium,Chinmay Sharma,KN Ananthapadmanabhan,C Shamshuddin,NJ Llong,Nitin Menon
59,2017,Hyderabad,2017-05-21,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",J Srinath,A Nand Kishore,AK Chaudhary,NJ Llong,S Ravi
60,2018,Mumbai,2018-04-07,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,1,DJ Bravo,Wankhede Stadium,RB Richardson,UV Gandhe,AK Chaudhary,CB Gaffaney,A Nand Kishore
61,2018,Chandigarh,2018-04-08,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,KL Rahul,Punjab Cricket Association IS Bindra Stadium,J Srinath,N Pandit,Nitin Menon,KN Ananthapadmanabhan,RJ Tucker
62,2018,Kolkata,2018-04-08,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,SP Narine,Eden Gardens,V Narayan Kutty,K Srinath,S Ravi,A Deshmukh,C Shamshuddin
63,2018,Hyderabad,2018-04-09,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,S Dhawan,Rajiv Gandhi International Stadium,S Chaturvedi,R Pandit,CK Nandan,NJ Llong,VA Kulkarni
64,2018,Chennai,2018-04-10,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,5,SW Billings,MA Chidambaram Stadium,RB Richardson,UV Gandhe,A Nand Kishore,AK Chaudhary,CB Gaffaney
